
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Depth,Distance,Level,Radius,ReferenceFrame,Time,Type,FilamentID,ID,
Filament Area (sum),0.655402,um^2,Filament,,,,,,,,1,,,100000005,
Filament Area (sum),0.636713,um^2,Filament,,,,,,,,1,,,100000006,
Filament Area (sum),1.98947,um^2,Filament,,,,,,,,1,,,100000007,
Filament Area (sum),0.722792,um^2,Filament,,,,,,,,1,,,100000008,
Filament Area (sum),1.40884,um^2,Filament,,,,,,,,1,,,100000009,
Filament Area (sum),0.621956,um^2,Filament,,,,,,,,1,,,100000010,
Filament Area (sum),2.42306,um^2,Filament,,,,,,,,1,,,100000011,
Filament Area (sum),0.642884,um^2,Filament,,,,,,,,1,,,100000012,
Filament Area (sum),3.14822,um^2,Filament,,,,,,,,1,,,100000013,
Filament Area (sum),0.732683,um^2,Filament,,,,,,,,1,,,100000014,
Filament Area (sum),2.36244,um^2,Filament,,,,,,,,1,,,100000015,
Filament Area (sum),0.654339,um^2,Filament,,,,,,,,1,,,100000016,
Filament Area (sum),1.24787,um^2,Filament,,,,,,,,1,,,100000017,
Filament Area (sum),0.714064,um^2,Filament,,,,,,,,1,,,100000018,
Filament Area (sum),0.841536,um^2,Filament,,,,,,,,1,,,100000019,
Filament Area (sum),0.763716,um^2,Filament,,,,,,,,1,,,100000020,
Filament Area (sum),0.645766,um^2,Filament,,,,,,,,1,,,100000021,
Filament Area (sum),0.610275,um^2,Filament,,,,,,,,1,,,100000022,
Filament Area (sum),1.17957,um^2,Filament,,,,,,,,1,,,100000023,
Filament Area (sum),0.713416,um^2,Filament,,,,,,,,1,,,100000024,
Filament Area (sum),2.36444,um^2,Filament,,,,,,,,1,,,100000025,
Filament Area (sum),0.791193,um^2,Filament,,,,,,,,1,,,100000026,
Filament Area (sum),1.90606,um^2,Filament,,,,,,,,1,,,100000027,
Filament Area (sum),0.625307,um^2,Filament,,,,,,,,1,,,100000028,
Filament Area (sum),1.31659,um^2,Filament,,,,,,,,1,,,100000029,
Filament Area (sum),0.668383,um^2,Filament,,,,,,,,1,,,100000030,
Filament Area (sum),1.81005,um^2,Filament,,,,,,,,1,,,100000031,
Filament Area (sum),1.40188,um^2,Filament,,,,,,,,1,,,100000032,
Filament Dendrite Area (sum),57.5746,um^2,Filament,,,,,,,,1,,,100000000,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000001,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000002,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000003,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000004,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000005,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000006,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000007,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000008,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000009,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000010,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000011,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000012,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000013,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000014,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000015,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000016,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000017,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000018,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000019,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000020,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000021,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000022,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000023,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000024,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000025,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000026,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000027,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000028,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000029,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000030,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000031,
Filament Dendrite Area (sum),0,um^2,Filament,,,,,,,,1,,,100000032,
Filament Dendrite Length (sum),28.0492,um,Filament,,,,,,,,1,,,100000000,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000001,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000002,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000003,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000004,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000005,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000006,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000007,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000008,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000009,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000010,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000011,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000012,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000013,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000014,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000015,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000016,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000017,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000018,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000019,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000020,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000021,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000022,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000023,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000024,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000025,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000026,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000027,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000028,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000029,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000030,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000031,
Filament Dendrite Length (sum),0,um,Filament,,,,,,,,1,,,100000032,
Filament Dendrite Volume (sum),9.4044,um^3,Filament,,,,,,,,1,,,100000000,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000001,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000002,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000003,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000004,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000005,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000006,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000007,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000008,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000009,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000010,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000011,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000012,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000013,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000014,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000015,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000016,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000017,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000018,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000019,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000020,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000021,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000022,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000023,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000024,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000025,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000026,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000027,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000028,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000029,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000030,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000031,
Filament Dendrite Volume (sum),0,um^3,Filament,,,,,,,,1,,,100000032,
Filament Distance from Origin,25.4268,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000000,
Filament Distance from Origin,26.4556,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000001,
Filament Distance from Origin,27.1341,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000002,
Filament Distance from Origin,26.9414,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000003,
Filament Distance from Origin,27.3513,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000004,
Filament Distance from Origin,26.65,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000005,
Filament Distance from Origin,27.3418,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000006,
Filament Distance from Origin,27.3828,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000007,
Filament Distance from Origin,28.6144,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000008,
Filament Distance from Origin,26.7371,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000009,
Filament Distance from Origin,27.1581,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000010,
Filament Distance from Origin,26.4602,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000011,
Filament Distance from Origin,26.7571,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000012,
Filament Distance from Origin,28.6479,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000013,
Filament Distance from Origin,29.7187,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000014,
Filament Distance from Origin,24.4218,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000015,
Filament Distance from Origin,23.4454,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000016,
Filament Distance from Origin,24.2217,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000017,
Filament Distance from Origin,23.2073,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000018,
Filament Distance from Origin,24.0948,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000019,
Filament Distance from Origin,23.943,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000020,
Filament Distance from Origin,25.0366,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000021,
Filament Distance from Origin,24.3506,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000022,
Filament Distance from Origin,23.8093,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000023,
Filament Distance from Origin,23.3045,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000024,
Filament Distance from Origin,28.0523,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000025,
Filament Distance from Origin,29.3343,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000026,
Filament Distance from Origin,28.2132,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000027,
Filament Distance from Origin,28.2535,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000028,
Filament Distance from Origin,26.7583,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000029,
Filament Distance from Origin,26.8568,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000030,
Filament Distance from Origin,31.373,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000031,
Filament Distance from Origin,31.7783,um,Filament,,Filament Distance from Origin,,,,,,1,,,100000032,
Filament Distance from Origin Reference Frame,25.4268,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000000,
Filament Distance from Origin Reference Frame,26.4556,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000001,
Filament Distance from Origin Reference Frame,27.1341,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000002,
Filament Distance from Origin Reference Frame,26.9414,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000003,
Filament Distance from Origin Reference Frame,27.3513,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000004,
Filament Distance from Origin Reference Frame,26.65,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000005,
Filament Distance from Origin Reference Frame,27.3418,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000006,
Filament Distance from Origin Reference Frame,27.3828,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000007,
Filament Distance from Origin Reference Frame,28.6144,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000008,
Filament Distance from Origin Reference Frame,26.7371,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000009,
Filament Distance from Origin Reference Frame,27.1581,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000010,
Filament Distance from Origin Reference Frame,26.4602,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000011,
Filament Distance from Origin Reference Frame,26.7571,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000012,
Filament Distance from Origin Reference Frame,28.6479,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000013,
Filament Distance from Origin Reference Frame,29.7187,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000014,
Filament Distance from Origin Reference Frame,24.4218,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000015,
Filament Distance from Origin Reference Frame,23.4454,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000016,
Filament Distance from Origin Reference Frame,24.2217,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000017,
Filament Distance from Origin Reference Frame,23.2073,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000018,
Filament Distance from Origin Reference Frame,24.0948,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000019,
Filament Distance from Origin Reference Frame,23.943,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000020,
Filament Distance from Origin Reference Frame,25.0366,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000021,
Filament Distance from Origin Reference Frame,24.3506,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000022,
Filament Distance from Origin Reference Frame,23.8093,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000023,
Filament Distance from Origin Reference Frame,23.3045,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000024,
Filament Distance from Origin Reference Frame,28.0523,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000025,
Filament Distance from Origin Reference Frame,29.3343,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000026,
Filament Distance from Origin Reference Frame,28.2132,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000027,
Filament Distance from Origin Reference Frame,28.2535,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000028,
Filament Distance from Origin Reference Frame,26.7583,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000029,
Filament Distance from Origin Reference Frame,26.8568,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000030,
Filament Distance from Origin Reference Frame,31.373,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000031,
Filament Distance from Origin Reference Frame,31.7783,um,Filament,,Filament Distance from Origin Reference Frame,,,,,Reference Frame 1,1,,,100000032,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000000,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000001,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000002,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000003,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000004,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000005,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000006,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000007,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000008,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000009,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000010,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000011,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000012,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000013,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000014,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000015,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000016,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000017,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000018,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000019,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000020,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000021,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000022,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000023,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000024,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000025,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000026,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000027,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000028,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000029,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000030,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000031,
Filament Full Branch Depth,0,,Filament,,,,,,,,1,,,100000032,
Filament Full Branch Level,1,,Filament,,,,,,,,1,,,100000000,
Filament Length (sum),28.0492,um,Filament,,,,,,,,1,,,100000000,
Filament Length (sum),2.87328,um,Filament,,,,,,,,1,,,100000001,
Filament Length (sum),1.33709,um,Filament,,,,,,,,1,,,100000002,
Filament Length (sum),1.19549,um,Filament,,,,,,,,1,,,100000003,
Filament Length (sum),1.05668,um,Filament,,,,,,,,1,,,100000004,
Filament Length (sum),1.10231,um,Filament,,,,,,,,1,,,100000005,
Filament Length (sum),1.07087,um,Filament,,,,,,,,1,,,100000006,
Filament Length (sum),3.34605,um,Filament,,,,,,,,1,,,100000007,
Filament Length (sum),1.21565,um,Filament,,,,,,,,1,,,100000008,
Filament Length (sum),2.36949,um,Filament,,,,,,,,1,,,100000009,
Filament Length (sum),1.04606,um,Filament,,,,,,,,1,,,100000010,
Filament Length (sum),4.0753,um,Filament,,,,,,,,1,,,100000011,
Filament Length (sum),1.08125,um,Filament,,,,,,,,1,,,100000012,
Filament Length (sum),5.29492,um,Filament,,,,,,,,1,,,100000013,
Filament Length (sum),1.23228,um,Filament,,,,,,,,1,,,100000014,
Filament Length (sum),3.97335,um,Filament,,,,,,,,1,,,100000015,
Filament Length (sum),1.10052,um,Filament,,,,,,,,1,,,100000016,
Filament Length (sum),2.09876,um,Filament,,,,,,,,1,,,100000017,
Filament Length (sum),1.20097,um,Filament,,,,,,,,1,,,100000018,
Filament Length (sum),1.41536,um,Filament,,,,,,,,1,,,100000019,
Filament Length (sum),1.28448,um,Filament,,,,,,,,1,,,100000020,
Filament Length (sum),1.0861,um,Filament,,,,,,,,1,,,100000021,
Filament Length (sum),1.02641,um,Filament,,,,,,,,1,,,100000022,
Filament Length (sum),1.9839,um,Filament,,,,,,,,1,,,100000023,
Filament Length (sum),1.19988,um,Filament,,,,,,,,1,,,100000024,
Filament Length (sum),3.97671,um,Filament,,,,,,,,1,,,100000025,
Filament Length (sum),1.33069,um,Filament,,,,,,,,1,,,100000026,
Filament Length (sum),3.20576,um,Filament,,,,,,,,1,,,100000027,
Filament Length (sum),1.05169,um,Filament,,,,,,,,1,,,100000028,
Filament Length (sum),2.21434,um,Filament,,,,,,,,1,,,100000029,
Filament Length (sum),1.12414,um,Filament,,,,,,,,1,,,100000030,
Filament Length (sum),3.04429,um,Filament,,,,,,,,1,,,100000031,
Filament Length (sum),2.35779,um,Filament,,,,,,,,1,,,100000032,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000000,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000001,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000002,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000003,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000004,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000005,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000006,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000007,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000008,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000009,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000010,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000011,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000012,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000013,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000014,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000015,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000016,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000017,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000018,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000019,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000020,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000021,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000022,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000023,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000024,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000025,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000026,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000027,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000028,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000029,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000030,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000031,
Filament No. Dendrite Branch Pts,0,,Filament,,,,,,,,1,,,100000032,
Filament No. Dendrite Branches,0,,Filament,,,,0.000,,,,1,,,100000000,
Filament No. Dendrite Branches,0,,Filament,,,,1.000,,,,1,,,100000000,
Filament No. Dendrite Branches,1,,Filament,,,,2.000,,,,1,,,100000000,
Filament No. Dendrite Branches,1,,Filament,,,,3.000,,,,1,,,100000000,
